filename,doi,is_oa,oa_status,tried_urls,status
Vilacoba_2013,10.1128/JCM.01388-13,True,bronze,best_oa:https://jcm.asm.org/content/jcm/51/11/3726.full.pdf | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas):http://hdl.handle.net/11336/8397,all_failed
Kim_2013,10.1128/AAC.00633-13,True,bronze,best_oa:https://aac.asm.org/content/aac/57/11/5239.full.pdf,all_failed
Golberg_2013,10.1080/08927014.2013.796939,True,green,,no_pdf_url
Ramrez_2013,10.1007/s00284-013-0326-5,True,green,,no_pdf_url
Saroj_2013,10.1128/AAC.02161-12,True,bronze,best_oa:https://aac.asm.org/content/aac/57/4/1926.full.pdf,all_failed
Nigro_2012,10.1093/jac/dks459,True,bronze,best_oa:https://academic.oup.com/jac/article-pdf/68/3/554/2350291/dks459.pdf,all_failed
Bhargava_2012,10.1080/08927014.2012.714372,False,closed,,no_pdf_url
Bitrian_2012,10.2436/20.1501.01.161,True,green,best_oa:http://revistes.iec.cat/index.php/IM/article/view/63838,all_failed
McQueary_2012,10.1007/s12275-012-1555-1,True,bronze,best_oa:https://link.springer.com/content/pdf/10.1007/s12275-012-1555-1.pdf,all_failed
Arduino_2012,10.1099/jmm.0.038968-0,False,closed,,no_pdf_url
Kim_2012,10.1128/AAC.00880-12,True,bronze,best_oa:https://aac.asm.org/content/aac/56/8/4544.full.pdf,all_failed
Seputiene_2012,10.1128/AAC.05678-11,True,green,,no_pdf_url
Bonnin_2011,10.1093/jac/dkr413,False,closed,,no_pdf_url
Hamidian_2011,10.1093/jac/dkr356,True,bronze,best_oa:https://academic.oup.com/jac/article-pdf/66/11/2484/2249082/dkr356.pdf,all_failed
Zhou_2011,10.1128/AAC.01134-10,True,green,,no_pdf_url
Clemmer_2011,10.1099/mic.0.049791-0,True,green,,no_pdf_url
Krizova_2011,10.1128/AAC.00221-11,True,hybrid,,no_pdf_url
Kang_2011,10.1007/s12275-011-0315-y,False,closed,,no_pdf_url
Turton_2011,10.1128/JCM.02335-10,True,green,,no_pdf_url
Ramirez_2011,10.1128/AAC.01595-10,True,green,,no_pdf_url
Bhargava_2010,10.3109/1040841X.2010.512269,False,closed,,no_pdf_url
Post_2010,10.1093/jac/dkq095,True,bronze,best_oa:https://academic.oup.com/jac/article-pdf/65/6/1162/2085518/dkq095.pdf,all_failed
Peleg_2009,10.1128/AAC.01533-08,True,bronze,best_oa:https://aac.asm.org/content/aac/53/6/2605.full.pdf,all_failed
Peleg_2008,10.1073/pnas.0805048105,True,green,,no_pdf_url
Niu_2008,10.1128/JB.01929-07,True,bronze,best_oa:https://jb.asm.org/content/jb/190/9/3386.full.pdf,all_failed
BogelmezTinaz_2005,10.1016/j.micres.2005.03.005,False,closed,,no_pdf_url
